QuestID,QuestName,QuestType,Targets,Location,locationID,Risk,Reward,Description
Q0040,전송 실험의 흔적,Main,enemy_073:1|enemy_098:1|enemy_034:1,물에 잠긴 건물,RUIN,6,20000,물질 전송 연구소에서 유출된 실험체가 이 지역의 침수를 초래했습니다. 연구 데이터를 회수하고 다음 목적지인 사막 연구시설의 좌표를 확보하십시오.
Q0041,사막 수송로 확보,Repeat,enemy_081:1,사막,BADLANDS,3,4200,수송로를 배회하는 머미를 제거하여 보급 차량의 통행을 확보하십시오.
Q0042,독사의 계곡,Sub,enemy_071:1,사막,BADLANDS,4,5800,라미아가 여행자들을 습격하고 있습니다. 생존자를 구조하고 몬스터를 토벌하십시오.
Q0043,석화의 유적,Sub,enemy_084:1,사막,BADLANDS,4,6500,고대 유적에서 탐사대가 모두 석상으로 변했습니다. 메두사를 처치하고 원인을 조사하십시오.
Q0044,모래폭풍의 정령,Repeat,enemy_086:1,사막,BADLANDS,4,7000,거대한 모래폭풍을 일으키는 진을 제압하여 탐사 경로를 확보하십시오.
Q0045,거인의 무덤,Sub,enemy_104:1,사막,BADLANDS,5,9000,거인의 묘역이 무너져 아틀라스가 각성했습니다. 더 이상의 피해를 막으십시오.
Q0046,고대 영웅의 시험,Sub,enemy_103:1,사막,BADLANDS,5,10500,엔키두가 침입자를 시험하고 있습니다. 반드시 처치할 필요는 없으며 그의 시련을 극복하십시오.
Q0047,사막의 왕릉,Main,enemy_081:1|enemy_084:1|enemy_071:1,사막,BADLANDS,5,13000,왕릉 깊숙한 곳에서 차원 균열의 흔적이 발견되었습니다. 내부를 정화하고 연구 자료를 회수하십시오.
Q0048,붉은 모래의 제단,Main,enemy_086:1|enemy_104:1|enemy_103:1,사막,BADLANDS,6,19000,사막 중앙의 제단에서 균열 에너지가 분출되고 있습니다. 수호자들을 돌파하고 다음 목적지인 '숲'으로 향하는 좌표를 확보하십시오.
Q0049,숲길 개척,Repeat,enemy_009:1|enemy_023:!,숲,FOREST,3,4500,숲 입구를 점거한 몬스터를 제거하여 조사대를 위한 통로를 확보하십시오.
Q0050,노래하는 숲,Sub,enemy_030:1,숲,FOREST,3,5200,요정 퍽이 탐험가들을 숲속으로 유인하고 있습니다. 대화 또는 제압을 통해 사건을 해결하십시오.
Q0051,움직이는 나무들,Repeat,enemy_038:1,숲,FOREST,4,6500,트렌트가 인간을 적으로 인식하기 시작했습니다. 원인을 조사하십시오.
Q0052,정령의 분노,Sub,enemy_028:1|enemy_029:1,숲,FOREST,4,7200,드라이어드와 스프라이트가 차원 균열의 영향으로 폭주했습니다. 가능하면 피해를 최소화하며 진압하십시오.
Q0053,독꽃 군락,Repeat,enemy_011:1|enemy_007:1,숲,FOREST,4,8000,독성 식물 몬스터가 숲 전체로 확산되고 있습니다. 번식지를 제거하십시오.
Q0054,하늘의 포식자,Sub,enemy_065:1|enemy_023:!,숲,FOREST,5,9800,그리폰과 하피가 상공을 장악하여 보급로가 끊겼습니다. 둥지를 제거하십시오.
Q0055,생명의 성역,Main,enemy_038:1|enemy_028:1|enemy_030:1,숲,FOREST,5,13500,숲 깊은 성역에서 자연의 정령들이 인간을 심판하려 합니다. 정령왕의 의도를 확인하고 성역을 안정시키십시오.
Q0056,세계수의 뿌리,Main,enemy_089:1|enemy_038:1|enemy_028:1,숲,FOREST,6,20000,세계수의 뿌리까지 차원 균열이 침식했습니다. 불의 정령 이프리트가 균열을 확장시키고 있습니다. 균열을 봉인하고 늪지대로 이어지는 통로를 확보하십시오.
Q0057,늪길 확보,Repeat,enemy_013:1,늪지대,BOG,3,4800,탐사대를 위해 늪길을 막고 있는 크리핑바인을 제거하십시오.
Q0058,독안개의 근원,Sub,enemy_007:1|enemy_011:1,늪지대,BOG,4,6200,독성 포자를 방출하는 식물형 몬스터를 제거하여 독안개를 약화시키십시오.
Q0059,거대 지네 토벌,Repeat,enemy_054:1,늪지대,BOG,4,7200,거대 지네가 수송대를 습격하고 있습니다. 번식지를 소탕하십시오.
Q0060,피를 마시는 그림자,Sub,enemy_069:1,늪지대,BOG,4,8300,야간에 탐험가들이 실종되고 있습니다. 카마소트를 추적하여 처치하십시오.
Q0061,불타는 늪,Repeat,enemy_035:1,늪지대,BOG,5,9500,늪 한가운데에서 화염이 발생하고 있습니다. 샐러맨더를 진압하여 화재를 막으십시오.
Q0062,뱀의 여왕,Sub,enemy_071:1|enemy_084:1,늪지대,BOG,5,11200,늪 깊은 곳에서 라미아와 메두사가 몬스터들을 지휘하고 있습니다. 지휘 체계를 붕괴시키십시오.
Q0063,타락한 성역,Main,enemy_101:1|enemy_007:1|enemy_013:1,늪지대,BOG,6,16500,숲의 성역이 늪으로 침식되었습니다. 릴리스를 저지하고 오염의 근원을 봉인하십시오.
Q0064,심연의 계약,Main,enemy_093:1|enemy_101:1,늪지대,BOG,7,24000,벨리알이 차원 균열을 확대하기 위해 릴리스와 계약을 맺었습니다. 계약 의식을 저지하고 폐기물 처리장으로 이어지는 통로를 확보하십시오.
Q0065,폐기물 운반로 확보,Repeat,enemy_017:1|enemy_018:1,폐기물 처리장,WASTELAND,4,6200,처리장 진입로를 점거한 언데드를 제거하고 운반 차량의 통행을 확보하십시오.
Q0066,폭주한 폐기 드론,Repeat,enemy_027:1|enemy_026:1,폐기물 처리장,WASTELAND,5,7800,폐기 예정이던 자동 병기들이 재가동되었습니다. 시스템을 정지시키십시오.
Q0067,오염 저장고 조사,Sub,enemy_000:1|enemy_007:1,폐기물 처리장,WASTELAND,5,8500,유독성 폐기물 저장고에서 변이 몬스터가 증식하고 있습니다. 오염원을 제거하십시오.
Q0068,병기 재활용 조직,Sub,enemy_015:1|enemy_059:1|enemy_033:1,폐기물 처리장,WASTELAND,5,9800,불법 조직이 폐기 병기를 회수하여 암시장에 판매하고 있습니다. 조직을 소탕하십시오.
Q0069,실패한 실험체,Sub,enemy_053:1|enemy_066:1,폐기물 처리장,WASTELAND,6,12000,폐기된 실험체가 다시 활동을 시작했습니다. 시설 피해를 최소화하며 진압하십시오.
Q0070,사신의 수거장,Sub,enemy_024:1|enemy_044:1,폐기물 처리장,WASTELAND,6,14500,수많은 몬스터의 잔류 에너지가 그림 리퍼를 끌어들였습니다. 영혼의 폭주를 막으십시오.
Q0071,E-Particle 폐기 시설,Main,enemy_031:1|enemy_027:1|enemy_053:1,폐기물 처리장,WASTELAND,6,18000,폐기 시설 지하에서 대량의 E-Particle이 검출되었습니다. 시설을 조사하고 데이터 서버를 확보하십시오.
Q0072,폐기 계획 'NEXUS',Main,enemy_037:1|enemy_039:1|enemy_033:1,폐기물 처리장,WASTELAND,7,26000,처리장 최심부에서 'NEXUS 계획'의 기록이 발견되었습니다. 실험 병력을 격파하고 물질 전송 연구소의 좌표를 확보하십시오.
Q0073,외곽 경비선 돌파,Repeat,enemy_037:1|enemy_039:1,물질 전송 연구소,MT LABORATORY,5,8500,연구소 외곽을 점거한 실험 병력을 돌파하십시오.
Q0074,폭주한 방어 시스템,Repeat,enemy_027:1|enemy_026:1|enemy_031:1,물질 전송 연구소,MT LABORATORY,6,10500,자동 방어 AI가 연구소를 봉쇄했습니다. 제어 시스템을 파괴하십시오.
Q0075,실험실 봉쇄 해제,Sub,enemy_019:1|enemy_053:1,물질 전송 연구소,MT LABORATORY,6,12500,마법 연구 구역이 봉쇄되었습니다. 실험체를 제거하고 접근 권한을 확보하십시오.
Q0076,차원 반응로,Sub,enemy_089:1|enemy_034:1|enemy_086:1,물질 전송 연구소,MT LABORATORY,6,14500,차원 반응로가 폭주하면서 상위 정령이 소환되었습니다. 반응로를 안정화하십시오.
Q0077,소환실 최심부,Sub,enemy_097:1|enemy_094:1|enemy_092:1,물질 전송 연구소,MT LABORATORY,7,17500,최상급 소환술사들이 차원 게이트를 유지하고 있습니다. 의식을 저지하십시오.
Q0078,벨리알의 계약,Main,enemy_093:1,물질 전송 연구소,MT LABORATORY,7,22000,벨리알이 NEXUS 시스템을 장악했습니다. 계약을 끊고 차원 게이트를 봉인하십시오.
Q0079,바알 강림,Main,enemy_096:1,물질 전송 연구소,MT LABORATORY,8,32000,차원 게이트가 완전히 열리며 바알이 강림했습니다. 연구소 붕괴 전에 저지하십시오.
Q0080,NEXUS CORE,Main,enemy_096:1|enemy_114:1|enemy_104:1,물질 전송 연구소,MT LABORATORY,9,50000,NEXUS CORE가 폭주하여 차원이 융합되기 시작했습니다. 마지막 전투를 끝내고 세계를 구하십시오.
